German, English
ich ,I
sie ,you
das ,the
ist ,is
du ,you
nicht ,Not
die ,the
es ,it
und ,and
der ,the
wir ,we
was ,What
zu ,to
er ,he
ein ,a
in ,in
ja ,Yes
mir ,me
mit ,with
wie ,how
den ,the
mich ,me
auf ,on
dass ,that
aber ,but
eine ,one
so ,so
hat ,Has
hier ,here
haben ,to have
für ,for
sind ,are
war ,was
von ,from
wenn ,if
dich ,you
ihr ,your
nein ,no
habe ,have
an ,on
bin ,am
noch ,still
nur ,only
da ,there
dir ,to you
sich ,themselves
einen ,a
uns ,us
hast ,have
dem ,to the
kann ,can
gut ,Good
auch ,also
schon ,nice
als ,as
sein ,be
mal ,times
jetzt ,now
ihn ,him
dann ,then
aus ,out
meine ,my
um ,around
im ,in the
wird ,will
mein ,my
bist ,are you
doch ,yet
alles ,All
weiß ,White
keine ,none
oder ,or
nach ,after
s ,S
nichts ,nothing
man ,one
muss ,got to
werden ,will
will ,want
ihnen ,them
geht ,goes
wo ,Where
etwas ,some
oh ,Oh
mehr ,more
bei ,at
also ,so
bitte ,You're welcome
immer ,always
hab ,have
warum ,why
vor ,before
los ,Come on
können ,can
wieder ,again
sagen ,say
machen ,make
danke ,thank you
sehr ,very
alle ,Everyone
denn ,because
mann ,man
tun ,to do
ihm ,him
zum ,for the
gehen ,walk
sehen ,see
vielleicht ,perhaps
einem ,a
wer ,who
ihre ,your
diese ,this
euch ,to you
einer ,one
komm ,come over
über ,over
gibt ,are
okay ,OK
wissen ,to know
deine ,yours
müssen ,must
soll ,target
werde ,become
nie ,never
wirklich ,really
hey ,hey
kein ,no
viel ,a lot of
weg ,away
würde ,would
tut ,does
am ,at the
des ,of
einfach ,simple
leben ,Life
hatte ,had
zeit ,time
weil ,because
willst ,want
kommen ,come
dein ,your
heute ,today
kommt ,comes
wollen ,want
damit ,in order to
ganz ,quite
wäre ,would
wollte ,wanted to
weißt ,white
ok ,OK
sicher ,secure
gesagt ,said
frau ,woman
nun ,well
bis ,until
wurde ,would
leid ,suffering
na ,n / A
kannst ,can
macht ,power
dieser ,this
zurück ,return
lassen ,leave
hallo ,Hi
meinen ,my
gott ,God
seine ,his
hätte ,had
zwei ,two
könnte ,could
genau ,Exactly
waren ,were
zur ,to the
lass ,let
klar ,clear
morgen ,morning
leute ,People
vater ,father
schön ,beautiful
glaube ,faith
mr. ,mr.
ab ,away
gerade ,just
tag ,Day
gesehen ,seen
reden ,talk
wohl ,well
liebe ,love
sollte ,should
sagte ,said
unsere ,our
jemand ,someone
geld ,money
durch ,through
ob ,if
keinen ,no
mutter ,mother
raus ,Out
gemacht ,made
paar ,few
mach ,make
passiert ,happens
dachte ,thought
besser ,better
musst ,must
wieso ,how come
sir ,sir
dieses ,this
selbst ,even
gehört ,heard
möchte ,would like
ohne ,without
hör ,listening
her ,from
sag ,say
meiner ,mine
anderen ,others
helfen ,help
nacht ,night
finden ,Find
diesen ,this
gute ,quality
wirst ,become
lange ,Long
natürlich ,Naturally
ach ,Oh
meinem ,my
gar ,at all
ins ,into the
sei ,be
dort ,there
weiter ,further
geben ,give
seit ,since
gleich ,same
sagt ,says
recht ,Law
ihren ,your
richtig ,correct
ordnung ,order
vom ,from the
hören ,Listen
sieht ,sees
davon ,from that
dafür ,Therefore
geh ,walk
diesem ,this
wegen ,because
hause ,home
sollten ,should
mädchen ,girl
hin ,there
sollen ,must
abend ,Eve
haus ,House
denke ,think
viele ,lots
drei ,three
deinen ,yours
freund ,friend
guten ,good
unser ,our
warte ,wait
machst ,make
menschen ,People
essen ,eat
angst ,fear
bleiben ,remain
zusammen ,together
welt ,world
unter ,among
