Spanish, English
que,what
de,from
no,not
a,a
la,the
el,the
es,is
y,Y
en,in
lo,it
un,a
por,for
qué,than
me,I
una,a
te,tea
los,the
se,I know
con,with
para,for
mi,me
está,is
si,Yeah
bien,good
pero,but
yo,I
eso,that
las,the
sí,Yeah
su,his
tu,your
aquí,here
del,of
al,to the
como,What
le,you
más,plus
esto,this
ya,Already
todo,all
esta,is
vamos,we go
muy,very
hay,there are
ahora,now
algo,something
estoy,I am
tengo,I've got
nos,us
tú,your
nada,any
cuando,when
ha,ha
este,East
sé,HE
estás,these
así,So
puedo,I can
cómo,What
quiero,I love
sólo,single
soy,I am
tiene,have
gracias,thank you
o,either
él,the
bueno,well
fue,was
ser,to be
hacer,to do
son,are
todos,everyone
era,it was
eres,are you
vez,time
tienes,have
creo,I believe
ella,she
he,He
ese,that
voy,go
puede,can
sabes,do you know
hola,hello
sus,their
porque,because
dios,God
quién,who
nunca,never
dónde,where
quieres,you want
casa,House
favor,favor
esa,that
dos,two
tan,so
señor,Sir
tiempo,weather
verdad,TRUE
estaba,was
mejor,better
están,is it so
va,goes
hombre,men
usted,you
mucho,a lot of
hace,make
entonces,then
siento,I feel
tenemos,have
puedes,you may
ahí,there
ti,you
vida,lifetime
ver,see
alguien,someone
sr,Mr
hasta,until
sin,without
mí,my
solo,only
años,years
sobre,on
decir,say
uno,one
siempre,forever
oh,Oh
ir,to go
cosas,things
también,also
antes,before
has,you have
ni,neither
mis,my
día,day
estar,to be
estamos,we're
noche,evening
nadie,no one
otra,other
quiere,wants
parece,It seems
nosotros,us
poco,little bit
padre,dad
trabajo,worked
gente,people
mira,sight
vas,you go
sea,be
les,them
donde,where
mismo,same
hecho,done
ellos,them
dijo,said
pasa,happens
dinero,money
hijo,child
tal,such
otro,other
hablar,to talk
seguro,sure
claro,Clear
estas,are
lugar,place
mundo,world
amigo,friend
espera,wait
mierda,shit
han,they have
tus,your
sabe,knows
después,after
momento,moment
desde,since
fuera,outside
cosa,stuff
tipo,type
mañana,morning
podemos,can we
dije,I said
gran,big
necesito,needed
estado,condition
podría,could
acuerdo,agreement
papá,potato
tener,have
dice,He says
mío,Own
crees,You believe
buena,good
gusta,like
nuestro,our
nuevo,new
