Portuguese, English
que ,what
não ,not
de ,in
você ,you
eu ,I
um ,a
para ,for
se ,if
está ,it is
uma ,one
com ,with
me ,me
por ,per
ele ,him
isso ,this
em ,in
do ,of
bem ,well
mas ,but
como ,like
da ,gives
os ,you
no ,at the
aqui ,on here
na ,at
sim ,yea
ela ,Is it over there
mais ,most
tem ,have
meu ,mine
seu ,your
vai ,go
as ,at
muito ,very
vamos ,let's go
foi ,were
estou ,I am
sua ,your
tudo ,all
só ,only
minha ,mine
agora ,now
pode ,he can
te ,you
então ,then
vou ,I'm going
sei ,know
fazer ,to do
quando ,When
ser ,to be
nós ,we
tenho ,I have
quer ,would you like
nos ,us
certo ,right
eles ,they
já ,already
sabe ,You know
quem ,who
estava ,was
nada ,nothing
era ,it was
onde ,Where
lá ,there
quero ,I want
ao ,to
ou ,or
sou ,I am
disse ,said
bom ,Good
há ,there is
posso ,I can
são ,are
ter ,to have
dizer ,to say
mim ,me
porque ,why
pra ,for
acho ,think
coisa ,thing
mesmo ,same
estão ,they are
sobre ,on
todos ,all
até ,until
lo ,it
cara ,face
nunca ,Never
quê ,what
assim ,so
tempo ,time
algo ,something
esse ,this
isto ,this
essa ,That
casa ,home
ver ,to see
vocês ,you
favor ,favor
temos ,we have
dos ,From
também ,also
ainda ,yet
deus ,God
ir ,go
noite ,night
tão ,So
obrigado ,thanks
sem ,without
melhor ,best
dia ,day
esta ,it is
estamos ,we are
talvez ,maybe
pai ,dad
alguém ,somebody
senhor ,Mr
vida ,life
anos ,years old
mãe ,mom
este ,This one
sr ,MR
sempre ,ever
vez ,turn
verdade ,truth
dele ,his
seus ,their
ficar ,to stay
parece ,looks
aí ,there
preciso ,precise
falar ,speak
oh ,Oh
coisas ,stuff
nem ,nor
homem ,men
depois ,later
claro ,clear
pelo ,fur
antes ,before
fazendo ,making
tinha ,had
lhe ,you
boa ,Good
faz ,does
dois ,two
pessoas ,people
pouco ,little
ei ,Hey
deve ,he must
acha ,he thinks
qual ,which
todo ,all
la ,there
lugar ,place
fora ,outside
apenas ,only
estar ,be
ninguém ,nobody
fez ,did
disso ,from that
trabalho ,I work
precisa ,need
comigo ,with me
das ,of
dar ,to give
alguma ,some
saber ,to know
novo ,new
mundo ,world
desculpe ,excuse me
hoje ,today
nome ,Name
seja ,it is
queria ,I wanted
vá ,go
sinto ,I feel
dinheiro ,cash
podemos ,we can
diga ,say
grande ,great
filho ,son
suas ,your
quanto ,how much
nossa ,Wow
deixe ,leave
vão ,they go
pela ,for the
outro ,other
qualquer ,any
será ,it will be
meus ,my
poderia ,it could
ok ,OK
nosso ,our
oi ,Hi
hora ,hour
outra ,other
dela ,her
certeza ,certain
sair ,go out
olá ,Hello
problema ,problem
carro ,car
daqui ,from here
mulher ,woman
toda ,all
merda ,Shit
algum ,any
volta ,return
espere ,hang on
falando ,talking
sabia ,you knew
amigo ,friend
aconteceu ,It happened
menos ,any less
olhe ,look
tipo ,type
faça ,Knife
venha ,come
diz ,it says
três ,three
ótimo ,excellent
obrigada ,Thanks
vezes ,times
vi ,saw
primeiro ,first
atrás ,behind
voltar ,come back
sério ,for real
entre ,in between
tenha ,you have
deveria ,it should
realmente ,really
ah ,ah
seria ,would be
às ,at
embora ,although
olha ,look
vê ,see
parte ,part
viu ,saw
vem ,comes
todas ,all
aquele ,that one
fique ,stay
los ,Los
deixar ,leave
ajudar ,help
amor ,love
dentro ,inside
dê ,in
pensei ,I thought
cabeça ,head
família ,family
duas ,two
gente ,people
frente ,front
pare ,Stop
querida ,Honey
feliz ,happy
dias ,days
nas ,in the
indo ,going
lado ,side
fui ,went
podem ,they can
gosto ,I like
homens ,men
mal ,bad
matar ,to kill
nenhum ,none
dá ,from the
fiz ,made
precisamos ,We need
pegar ,take
somos ,are
cidade ,City
tarde ,afternoon
fosse ,were
alguns ,some
legal ,cool
amigos ,friends
têm ,have
garota ,girl
meio ,quite
deles ,their
logo ,soon
rápido ,fast
amanhã ,tomorrow
momento ,time
gostaria ,would
medo ,fear
caso ,case
num ,on one
foram ,they were
importa ,it matters
tanto ,so much
horas ,hours
porta ,door
tentando ,trying
irmão ,brother
outros ,others
entrar ,log in
desde ,since
ali ,there
minhas ,my
amo ,I love
jeito ,way
minutos ,minute
cada ,each
morto ,dead
vejo ,I see
enquanto ,While
quase ,almost
errado ,wrong
pessoa ,people
algumas ,some
ajuda ,help
demais ,too much
nova ,new
história ,story
perto ,near
fica ,he is
aquela ,that one
tá ,OK
dizendo ,saying
semana ,week
garoto ,boy
deu ,He gave
encontrar ,meet
papai ,dad
pessoal ,folks
contra ,against
sorte ,luck
cima ,top
droga ,damn it
primeira ,first
nisso ,in that
esses ,Those
quiser ,he wants
morte ,death
essas ,these
idéia ,idea
achei ,I thought
morrer ,to die
espero ,I expect
caminho ,path
polícia ,police
sente ,feel
arma ,weapon
manhã ,morning
aos ,to the
acabou ,he finished
quarto ,bedroom
crianças ,kids
ano ,year
levar ,take along
